Ibuk ID;Tytuł;Autor;ISBN;Wydawnictwo;Rok wydania;Kategoria;Podkategoria;Link do książki 
1805;Motywacja i osobowość;Abraham H. Maslow;83-01-14809-8;Wydawnictwo Naukowe PWN;2006;Nauki społeczne;Psychologia;Czytaj
62029;Mroczne dusze;Marek Dryjer;978-83-7859-151-1;Wydawnictwo e-bookowo;2013;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
38656;Mroczny labirynt;Krzysztof Petek;978-83-7568-894-8;Siedmioróg;2012;Literatura dla dzieci i młodzieży;-;Czytaj
41924;Muzyczność dzieła literackiego;Andrzej Hejmej;978-83-231-2826-7;Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika;2012;Nauki humanistyczne;Filologia polska;Czytaj
61567;Muzyka w literaturze;Andrzej Hejmej;978-83-242-1538-6;Universitas;2012;Nauki humanistyczne;Filologia polska;Czytaj
40903;Muzykoterapia w rehabilitacji i profilaktyce;Aldona Gąsienica-Szostak;978-83-200-4517-8;Wydawnictwo Lekarskie PZWL;2003;Medycyna;Rehabilitacja;Czytaj
45197;Na dalekiej Ukrainie;Władysław A. Serczyk;978-83-7730-991-9;Avalon;2008;Nauki humanistyczne;Historia;Czytaj
66407;Na granicy rozdzielczości;Jacek Bojakowski;978-83-63804-21-3;edu-Libri;2013;Publikacje darmowe;-;Czytaj
36813;Na starość. Szkice o literaturze przełomu tysiącleci;Agnieszka Czyżak;978-83-232-2276-7;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2011;Nauki humanistyczne;Filologia polska;Czytaj
42633;Nad brzegami Niemna;Zenon Ciechanowicz;978-83-7859-067-5;Wydawnictwo e-bookowo;2012;Literatura faktu;-;Czytaj
40127;Nadfiolet;Ewa Schilling;978-83-7859-016-3;Wydawnictwo e-bookowo;2012;Literatura kobieca;-;Czytaj
45372;Nadmierne używanie internetu;Katarzyna Kaliszewska;978-83-232-2125-8;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2010;Nauki społeczne;Psychologia;Czytaj
1360;Narkotyki;Redakcja: Konrad Raczkowski;978-83-7644-019-4;Łośgraf;2009;Prawo;Bezpieczeństwo wewnętrzne;Czytaj
40914;Natural Combat;Bogusław Sztorc, Robert Świrad;978-83-7859-041-5;Wydawnictwo e-bookowo;2012;Sport;-;Czytaj
43371;Nauka o administracji;Karol Dąbrowski;978-83-933847-0-9;Fundacja Obywatelskiego Rozwoju Ryki;2012;Publikacje darmowe;-;Czytaj
2025;Nauki podstawowe prawa kanonicznego;Remigiusz Sobański;83-7072-182-6;Wydawnictwo Uniwersytetu Kardynała Stefana Wyszyńskiego;2001;Prawo;Prawo kanoniczne;Czytaj
64994;Nazwy geograficzne Europy w języku polskim. Dziedzictwo i współczesność;Karol i Zofia Zierhofferowie;978-83-232-2323-8;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2011;Nauki humanistyczne;Filologia polska;Czytaj
1684;Negacja w języku i komunikacji;Józef Maciuszek;978-83-233-2137-8;Wydawnictwo Uniwersytetu Jagiellońskiego;2006;Nauki społeczne;Psychologia;Czytaj
413;Neurologia praktyczna;Antoni Prusiński;978-83-200-3546-9;Wydawnictwo Lekarskie PZWL;2007;Medycyna;Neurologia;Czytaj
307;Neuropsychologia kliniczna. Urazy mózgu, t. 1;Maria Pąchalska;978-83-01-14977-2;Wydawnictwo Naukowe PWN;2007;Nauki społeczne;Psychologia;Czytaj
308;Neuropsychologia kliniczna. Urazy mózgu, t. 2;Maria Pąchalska;978-83-01-14978-9;Wydawnictwo Naukowe PWN;2007;Nauki społeczne;Psychologia;Czytaj
45096;Nie po myśli władzy. Studia nad cenzurą i zakresem wolności słowa na ziemiach polskich od wieku XIX do czasów współczesnych;Redakcja: Dorota Degen, Marcin Żynda;978-83-231-2963-9;Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika;2012;Nauki humanistyczne;Historia;Czytaj
8588;Nie zapomnę...;Anna Górska;978-83-62480-86-9;Wydawnictwo e-bookowo;2011;Literatura kobieca;-;Czytaj
45352;Nie-bajki pani Barbajki;Barbara Niedźwiedzka;978-83-7859-102-3;Wydawnictwo e-bookowo;2013;Literatura dla dzieci i młodzieży;-;Czytaj
39469;Niebo usłane grzechami;Karina Wojciechowska;978-83-7859-002-6;Wydawnictwo e-bookowo;2012;Literatura kobieca;-;Czytaj
45456;Nieformalne aspekty biznesu;Andrzej Buszko;978-83-7488-038-1;Placet;2010;Nauki ekonomiczne;Gospodarka światowa;Czytaj
6031;Nieletnie. Niebezpieczne, niegrzeczne, niegroźne?;Dagmara Woźniakowska-Fajst;978-83-7644-054-5;Łośgraf;2010;Prawo;Prawo karne;Czytaj
63579;Niemiecka Europa;Ulrich Beck;978-83-01-17309-8;Wydawnictwo Naukowe PWN;2013;Nauki społeczne;Nauki polityczne;Czytaj
40544;Niepełnosprawność Edukacja Dorosłość;Joanna Belzyt;978-83-7587-984-1;Oficyna Wydawnicza IMPULS;2012;Nauki społeczne;Pedagogika;Czytaj
1313;Niepełnosprawność i niepełnosprawni w polityce społecznej;Zbigniew Woźniak;978-83-89281-57-9;Academica Wydawnictwo SWPS;2008;Publikacje darmowe;-;Czytaj
36159;Niepokorni. Brudni. Źli. Ludzie marginesu w prozie polskiej XX wieku;Zbigniew Kopeć;978-83-232-2137-1;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2010;Nauki humanistyczne;Filologia polska;Czytaj
41674;Nieśmiertelność Wieża;Wolfgang Hohlbein;978-83-63551-19-3;Telbit;2012;Literatura piękna;Fantastyka;Czytaj
41553;Niezłomni ludzie Kościoła. Kościół w okowach. Sylwetki;Redakcja: Jana Żaryna;978-83-7505-838-3;Wydawnictwo WAM;2011;Nauki humanistyczne;Historia;Czytaj
41566;Nordic Walking- po zdrowie marsz;Anna Łodygowska;978-83-200-4213-9;Wydawnictwo Lekarskie PZWL;2012;Sport;-;Czytaj
2228;Nowa audiowizualność;Eugeniusz Wilk;978-83-233-2516-1;Wydawnictwo Uniwersytetu Jagiellońskiego;2010;Nauki humanistyczne;Kulturoznawstwo;Czytaj
13236;Nowe kierunki w zarządzaniu przedsiębiorstwem;Redakcja: Henryk Jagoda;978-83-7695-140-9;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2011;Nauki ekonomiczne;Zarządzanie, organizacja, strategie;Czytaj
7340;Nowe ruchy społeczne;Tadeusz Paleczny;978-83-233-2999-2;Wydawnictwo Uniwersytetu Jagiellońskiego;2010;Nauki społeczne;Socjologia;Czytaj
1588;Nowoczesne kompendium chemii;K.-H. Lautenschläger, W. Schröter, A. Wanninger;978-83-01-14906-2;Wydawnictwo Naukowe PWN;2007;Nauki matematyczno-przyrodnicze;Chemia;Czytaj
1806;Nowoczesne kompendium fizyki;Horst Stöcker;978-83-01-15840-8;Wydawnictwo Naukowe PWN;2010;Nauki matematyczno-przyrodnicze;Fizyka;Czytaj
2003;Nowoczesność i tożsamość;Anthony Giddens;978-83-01-16225-2;Wydawnictwo Naukowe PWN;2010;Nauki społeczne;Socjologia;Czytaj
61539;Nowomowa i ciągi dalsze;Michał Głowiński;978-83-242-1403-7;Universitas;2009;Nauki humanistyczne;Filologia polska;Czytaj
40718;O pochodzeniu człowieka;Karol Darwin;978-83-62948-41-3;Biblioteka Analiz;2009;Literatura popularnonaukowa;-;Czytaj
40687;O powstawaniu gatunków;Karol Darwin;978-83-62948-42-0;Biblioteka Analiz;2006;Literatura popularnonaukowa;-;Czytaj
2059;O prelekcjach paryskich Adama Mickiewicza;Michał Kuziak;978-83-7467-102-6;Wydawnictwo Naukowe Akademii Pomorskiej w Słupsku;2007;Nauki humanistyczne;Filologia polska;Czytaj
38228;O sensie życia;Ewa Danuta Białek;978-83-63428-08-2;Instytut Psychosyntezy;2011;Literatura faktu;-;Czytaj
197;O teorii i praktyce poradnictwa;Alicja Kargulowa;978-83-01-14224-7;Wydawnictwo Naukowe PWN;2007;Nauki społeczne;Pedagogika;Czytaj
63655;Oblicza polskiej duchowości;Redakcja: Włodzimierz Gałązka;978-83-7072-761-1;Wydawnictwo Uniwersytetu Kardynała Stefana Wyszyńskiego;2013;Teologia;-;Czytaj
45210;Obniżanie poziomu przemocy i lęku młodzieży gimnazjalnej;Agnieszka Lewicka Zelent;978-83-7784-139-6;Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej;2012;Nauki społeczne;Pedagogika;Czytaj
396;Obsługa ruchu turystycznego;Redakcja: Beata Meyer;978-83-01-14820-1;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Usługi;Czytaj
1248;Ochrona danych osobowych w ogólnym postępowaniu administracyjnym;Paweł Litwiński;978-83-7601-769-3;Wolters Kluwer Polska;2009;Prawo;Prawo administracyjne;Czytaj
745;Ochrona praw człowieka w Radzie Europy i w Unii Europejskiej;Grażyna Michałowska;978-83-60501-34-4;Łośgraf;2007;Nauki ekonomiczne;Unia Europejska;Czytaj
18846;Ochrona praw mniejszości narodowych w Europie;Grzegorz Janusz;978-83-227-3261-8;Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej;2011;Nauki społeczne;Nauki polityczne;Czytaj
959;Ochrona środowiska przyrodniczego;Bożena Dobrzańska, Grzegorz Dobrzański, Dariusz Kiełczewski;978-83-01-15495-0;Wydawnictwo Naukowe PWN;2008;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
70;Od liberalizacji do integracji Polski z Unią Europejską;Włodzimierz Siwiński, Jan Jakub Michałek, Mieczysław Socha;83-01-14080-1;Wydawnictwo Naukowe PWN;2003;Nauki ekonomiczne;Gospodarka światowa;Czytaj
13214;Od rytuału do mitu. Teatr Śmierci Tadeusza Kantora jako fakt antropologiczny;Anna Kapusta;978-83-233-3109-4;Wydawnictwo Uniwersytetu Jagiellońskiego;2011;Nauki humanistyczne;Kulturoznawstwo;Czytaj
1337;Od samoakceptacji do aktywności? Postawy wobec własnej niepełnosprawności a aktywność zawodowa;Dorota Wiszejko-Wierzbicka;978-83-89281-49-4;Academica Wydawnictwo SWPS;2008;Publikacje darmowe;-;Czytaj
42767;Od Valinoru do Mordoru;Andrzej Szyjewski;978-83-7595-535-4;M;2012;Literatura piękna;Fantastyka;Czytaj
1330;Oddziaływania psychologiczne na rzecz integracji osób z ograniczeniami sprawności;Redakcja: Ewa Trzebińska;978-83-89281-34-0;Academica Wydawnictwo SWPS;2007;Publikacje darmowe;-;Czytaj
9281;Odkryj Instytut Nenckiego;Marta Wojewoda, Katarzyna Żybura-Broda;978-83-01-16720-2;Instytut Biologii Doświadczalnej im. M. Nenckiego PAN;2011;Publikacje darmowe;-;Czytaj
43817;Odkryj smak fizyki;Jerzy Przystawa;978-83-01-17274-9;Wydawnictwo Naukowe PWN;2013;Nauki matematyczno-przyrodnicze;Fizyka;Czytaj
36162;Odmiany Wolności. Publicystyka, krytyka i literatura polskiego Października;Jan Galant;978-83-232-2142-5;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2010;Nauki humanistyczne;Filologia polska;Czytaj
93857;Odnowienie doktoratów Profesorów Jacka Staszewskiego, Mieczysława Wojciechowskiego i Wojciecha Wrzesińskiego;Redakcja: Wiesław Sieradzan;978-83-231-3136-6;Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika;2013;Nauki humanistyczne;Historia;Czytaj
3838;Ogród bez chemii;Wojciech Majda;978-83-61184-72-0;Wydawnictwo e-bookowo;2010;Poradniki;-;Czytaj
41633;Ogryzek Aureliusza;Marcin Fabjański;978-83-63551-01-8;Telbit;2011;Literatura dla dzieci i młodzieży;-;Czytaj
42493;Okno z widokiem na Prowansję;Anna Strzelec;978-83-7859-069-9;Wydawnictwo e-bookowo;2012;Literatura kobieca;-;Czytaj
62024;Onegdaj w Krakowie;Berenika Kluczykowska-Sienkiewicz, Redakcja: Michał Traczyk;978-83-7779-047-2;MG;2010;Literatura faktu;-;Czytaj
71838;Open Access: Analiza zjawiska z punktu widzenia polskiego naukowca;Piotr Kozierski, Rafał Kabaciński, Marcin Lis, Piotr Kaczmarek;978-83-7850-485-6;Oficyna Wydawnicza IMPULS;2013;Publikacje darmowe;-;Czytaj
2148;Opieka i pomoc społeczna. Dynamika instytucji;Dariusz Zalewski;83-235-0328-1;Wydawnictwa Uniwersytetu Warszawskiego;2005;Nauki społeczne;Socjologia;Czytaj
41017;Opieka paliatywna;Redakcja: Aniela Adamczyk, Krzysztof Buczkowski, Damian Jagielski;978-83-200-3841-5;Wydawnictwo Lekarskie PZWL;2009;Medycyna;Onkologia;Czytaj
328;Opieka zdrowotna;Iga Rudawska;978-83-01-15103-4;Wydawnictwo Naukowe PWN;2007;Nauki ekonomiczne;Zarządzanie, organizacja, strategie;Czytaj
45454;Opiekun medyczny w praktyce;Elżbieta Szwałkiewicz;978-83-200-4336-5;Wydawnictwo Lekarskie PZWL;2013;Medycyna;Inne;Czytaj
40834;Opiekunka;Izabela Tokarek;978-83-7859-020-0;Wydawnictwo e-bookowo;2012;Literatura kobieca;-;Czytaj
38706;Opowiadania +18 z pozycji horyzontalnej;Michał Migar;978-83-63080-61-7;Wydawnictwo e-bookowo;2012;Literatura kobieca;-;Czytaj
3373;Opowieści o Małej Czarownicy Ismie;Aneta Ciećko;978-83-61184-40-9;Wydawnictwo e-bookowo;2009;Literatura dla dzieci i młodzieży;-;Czytaj
2950;Opowieści z Przeklętej Doliny: Ucięta Mowa;Konrad Staszewski;978-83-61184-70-6;Wydawnictwo e-bookowo;2010;Literatura piękna;Fantastyka;Czytaj
61937;Optyka;Eugene Hecht, Redakcja: Michał Makowski;978-83-01-17105-6;Wydawnictwo Naukowe PWN;2012;Nauki matematyczno-przyrodnicze;Fizyka;Czytaj
8408;Oranżeria rodziny Williamsów;Janusz Brzozowski;978-83-62480-07-4;Wydawnictwo e-bookowo;2011;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
27901;Organizacja i prowadzenie imprez sportowych, rekreacyjnych i turystycznych;Jan Strugarek;978-83-232-2262-0;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2011;Nauki matematyczno-przyrodnicze;Nauki o Ziemi;Czytaj
44803;Ortografnik;Mirosław Sobański Connemara;978-83-7859-125-2;Wydawnictwo e-bookowo;2013;Literatura dla dzieci i młodzieży;-;Czytaj
1534;Osoba ciężko chora lub niepełnosprawna w domu;Emilia Mikołajewska;978-83-200-3808-8;Wydawnictwo Lekarskie PZWL;2008;Medycyna;Poradniki medyczne;Czytaj
1327;Osoby z ograniczoną sprawnością na rynku pracy;Redakcja: Anna Izabela Brzezińska, Zbigniew Woźniak, Konrad Maj;978-83-89281-29-6;Academica Wydawnictwo SWPS;2007;Publikacje darmowe;-;Czytaj
1326;Osoby z ograniczoną sprawnością na rynku pracy - portret środowiska.;Redakcja: Wojciech Łukowski;978-83-89281-44-9;Academica Wydawnictwo SWPS;2008;Publikacje darmowe;-;Czytaj
415;Ostra niewydolność nerek;Redakcja: Joanna Matuszkiewicz-Rowińska;83-200-3278-4;Wydawnictwo Lekarskie PZWL;2006;Medycyna;Interna;Czytaj
2524;Pamiętajki;Dorota Niewola;978-83-7587-279-8;Oficyna Wydawnicza IMPULS;2010;Inne;Literatura edukacyjna dla dzieci;Czytaj
2577;Państwa Wikingów. Podboje, władza, kultura. Wiek IX-XI;Angelo Forte, Richard Oram, Frederik Pedersen;978-83-01-16454-6;Wydawnictwo Naukowe PWN;2010;Nauki humanistyczne;Historia;Czytaj
38472;Państwo;Gianfranco Poggi;978-83-01-16393-8;Wydawnictwo Naukowe PWN;2010;Nauki społeczne;Nauki polityczne;Czytaj
67332;Paradoks czasu;John Boyd, Philip Zimbardo;978-83-01-16766-0;Wydawnictwo Naukowe PWN;2013;Nauki społeczne;Psychologia;Czytaj
2115;Partie i systemy partyjne na świecie. Nowe wydanie;Katarzyna Sobolewska-Myślik;978-83-01-16226-9;Wydawnictwo Naukowe PWN;2010;Nauki społeczne;Nauki polityczne;Czytaj
45425;Patofizjologia człowieka;Anna M. Badowska-Kozakiewicz;978-83-200-4530-7;Wydawnictwo Lekarskie PZWL;2013;Medycyna;Inne;Czytaj
608;Patologie społeczne;Irena Pospiszyl;978-83-01-15327-4;Wydawnictwo Naukowe PWN;2009;Nauki społeczne;Pedagogika;Czytaj
43593;Pedagogika Filozoficzna. T. IV. Metamorfozy filozofii wychowania. Od antyku po współczesność;Redakcja: Marcin Wasilewski, Marcin Rojek;978-83-7525-690-1;Wydawnictwo Uniwersytetu Łódzkiego;2012;Nauki społeczne;Pedagogika;Czytaj
44638;Pedagogika innowacyjności. Między teorią a praktyką;Beata Przyborowska;978-83-231-2933-2;Wydawnictwo Naukowe Uniwersytetu Mikołaja Kopernika;2013;Nauki społeczne;Pedagogika;Czytaj
481;Pedagogika medialna, t. 1;Redakcja: Bronisław Siemieniecki;978-83-01-15703-6;Wydawnictwo Naukowe PWN;2008;Nauki społeczne;Pedagogika;Czytaj
482;Pedagogika medialna, t. 2;Redakcja: Bronisław Siemieniecki;978-83-01-15704-3;Wydawnictwo Naukowe PWN;2008;Nauki społeczne;Pedagogika;Czytaj
63515;Pedagogika ogólna;Bogusław Śliwerski, Redakcja: Bogusław Śliwerski;978-83-7850-169-5;Oficyna Wydawnicza IMPULS;2013;Nauki społeczne;Pedagogika;Czytaj
288;Pedagogika porównawcza;Jan Průcha;83-01-14331-2;Wydawnictwo Naukowe PWN;2006;Nauki społeczne;Pedagogika;Czytaj
695;Pedagogika pracy;Andrzej Bogaj, Barbara Baraniak, Stefan M. Kwiatkowski;978-83-60501-24-5;Łośgraf;2007;Nauki społeczne;Pedagogika;Czytaj
61951;Pedagogika specjalna t.1;Deborah Deutsch Smith, Redakcja: Anna Firkowska-Mankiewicz, Grzegorz Szumski;978-83-01-15668-8;Wydawnictwo Naukowe PWN;2008;Nauki społeczne;Pedagogika;Czytaj
61932;Pedagogika specjalna t.2;Deborah Deutsch Smith, Redakcja: Anna Firkowska-Mankiewicz, Grzegorz Szumski;978-83-01-15707-4;Wydawnictwo Naukowe PWN;2009;Nauki społeczne;Pedagogika;Czytaj
278;Pedagogika społeczna, t. 1;Ewa Marynowicz-Hetka;978-83-01-14675-7;Wydawnictwo Naukowe PWN;2006;Nauki społeczne;Pedagogika;Czytaj
822;Pedagogika społeczna, t. 2;Redakcja: Ewa Marynowicz-Hetka;978-83-01-14847-8;Wydawnictwo Naukowe PWN;2007;Nauki społeczne;Pedagogika;Czytaj
1359;Pedagogika wczesnoszkolna - dyskursy, problemy, rozwiązania;Redakcja: Dorota Klus-Stańska, Maria Szczepska-Pustkowska;978-83-7644-018-7;Łośgraf;2009;Nauki społeczne;Pedagogika;Czytaj
195;Pedagogika. Podręcznik akademicki, t. 1;Redakcja: Zbigniew Kwieciński, Bogusław Śliwerski;978-83-01-14055-7;Wydawnictwo Naukowe PWN;2008;Nauki społeczne;Pedagogika;Czytaj
158;Pedagogika. Podręcznik akademicki, t. 2;Redakcja: Zbigniew Kwieciński, Bogusław Śliwerski;978-83-01-14133-2;Wydawnictwo Naukowe PWN;2007;Nauki społeczne;Pedagogika;Czytaj
41400;Pentagram. Antologia grozy;Marek Dryjer;978-83-7859-055-2;Wydawnictwo e-bookowo;2012;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
510;Performans;Marvin Carlson;978-83-01-15325-0;Wydawnictwo Naukowe PWN;2007;Nauki humanistyczne;Kultura i sztuka;Czytaj
61674;Perspektywy współczesnej historii sztuki. Antologia przekładów Artium Quaestiones;Redakcja: Mariusz Bryl, Piotr Juszkiewicz, Piotr Piotrowski, Wojciech Suchocki;978-83-232-2080-0;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2009;Nauki humanistyczne;Kultura i sztuka;Czytaj
42081;Picie Opowieść o miłości;Caroline Knapp;978-83-01-17245-9;Dom Wydawniczy PWN Sp. z o.o.;2012;Literatura kobieca;-;Czytaj
45416;Pielęgniarstwo ratunkowe;Maria Kózka;978-83-200-4307-5;Wydawnictwo Lekarskie PZWL;2013;Medycyna;Medycyna ratunkowa;Czytaj
64478;Pielęgniarstwo w pediatrii;Redakcja: Ewa Barczykowska, Robert Ślusarz, Maria Szewczyk;978-83-85284-62-8;Borgis;2006;Medycyna;Pediatria;Czytaj
43625;Pierwsza pomoc. Podręcznik dla studentów;Mariusz Goniewicz;978-83-200-4552-9;Wydawnictwo Lekarskie PZWL;2012;Medycyna;Medycyna ratunkowa;Czytaj
45431;Pies Baskerville'ów Hound of the Baskerville;Arthur Conan Doyle;978-83-7779-027-4;MG;2009;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
2011;Piękno ciała;Milan Cabrić, Leszek Pokrywka;978-83-01-16302-0;Wydawnictwo Naukowe PWN;2010;Medycyna;Inne;Czytaj
2292;Piękny wiek XIX;Jerzy W. Borejsza;978-83-01-16427-0;Wydawnictwo Naukowe PWN;2010;Nauki humanistyczne;Historia;Czytaj
64942;Pinokio;Carlo Collodi;978-83-7895-249-7;ZIELONA SOWA;2009;Podręczniki i lektury szkolne;Język polski;Czytaj
65014;Piosenka w poezji pokolenia ery transformacji 1984-2009;Piotr Łuszczykiewicz;978-83-232-2055-8;Wydawnictwo Naukowe Uniwersytetu im. Adama Mickiewicza;2009;Nauki humanistyczne;Filologia polska;Czytaj
64098;Piórem przez epoki;Maria Teresa Pietrzak;978-83-7859-148-1;Wydawnictwo e-bookowo;2013;Literatura kobieca;-;Czytaj
2532;Pisanie prac i sztuka ich prezentacji;Przemysław Paweł Grzybowski, Krzysztof Sawicki;978-83-7850-013-1;Oficyna Wydawnicza IMPULS;2013;Nauki społeczne;Pedagogika;Czytaj
61627;Pisarstwo kobiet pomiędzy dwoma dwudziestoleciami;Redakcja: Inga Iwasiów, Arleta Galant;978-83-242-1514-0;Universitas;2011;Nauki humanistyczne;Filologia polska;Czytaj
61855;Pismo, książka, lektura. Rozmowy: Le Goff, Chartier, Hebrard, Fabre, Lejeune;Paweł Rodak;978-83-235-1009-3;Wydawnictwa Uniwersytetu Warszawskiego;2009;Nauki humanistyczne;Filologia polska;Czytaj
38136;Piszę akademicką pracę promocyjną - licencjacką, magisterską, doktorską;Krystyna Wojcik;978-83-264-3578-2;Wolters Kluwer Polska;2012;Prawo;Inne;Czytaj
38333;Planowanie negocjacji w przedsiębiorstwie;Andrzej Kozina;978-83-7252-560-4;Wydawnictwo Uniwersytetu Ekonomicznego w Krakowie;2012;Nauki ekonomiczne;Zarządzanie, organizacja, strategie;Czytaj
62617;Płynność finansowa w małych i średnich przedsiębiorstwach;Grzegorz Michalski;978-83-01-17289-3;Wydawnictwo Naukowe PWN;2013;Nauki ekonomiczne;Finanse i bankowość;Czytaj
1767;Podanie o Piaście i Popielu;Jacek Banaszkiewicz;978-83-01-16170-5;Wydawnictwo Naukowe PWN;2010;Nauki humanistyczne;Historia;Czytaj
44412;Podręcznik tworzenia stron internetowych na Facebooku;Tomasz Smykowski;978-83-933516-1-9;Wydawnictwo e-bookowo;2012;Nauki ekonomiczne;Inne;Czytaj
40546;Podstawowe problemy teorii wychowania fizycznego;Janusz Bielski;978-83-7587-952-0;Oficyna Wydawnicza IMPULS;2012;Nauki społeczne;Pedagogika;Czytaj
32;Podstawy bankowości z zadaniami;Zbigniew Dobosiewicz, Katarzyna Marton-Gadoś;83-01-14345-2;Wydawnictwo Naukowe PWN;2005;Nauki ekonomiczne;Finanse i bankowość;Czytaj
38651;Podstawy biotechnologii;Redakcja: Colin Ratledge, Bjorn Kristiansen;978-83-01-16541-3;Wydawnictwo Naukowe PWN;2011;Nauki matematyczno-przyrodnicze;Biologia;Czytaj
62845;Podstawy chemii nieorganicznej;Adam Bielański;978-83-01-16280-1;Wydawnictwo Naukowe PWN;2013;Nauki matematyczno-przyrodnicze;Chemia;Czytaj
1262;Podstawy detektywistyki;Tomasz Aleksandrowicz, Jerzy Konieczny, Anna Konik;978-83-60807-30-9;Łośgraf;2008;Prawo;Bezpieczeństwo wewnętrzne;Czytaj
8;Podstawy ekonomii;Redakcja: Roman Milewski, Eugeniusz Kwiatkowski;978-83-01-15293-2;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Teoria ekonomii;Czytaj
68;Podstawy finansów;Dorota Korenik, Stanisław Korenik;978-83-01-15452-3;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Finanse i bankowość;Czytaj
1809;Podstawy finansów i bankowości;Ewa Miklaszewska;978-83-233-1778-4;Wydawnictwo Uniwersytetu Jagiellońskiego;2003;Nauki ekonomiczne;Finanse i bankowość;Czytaj
38310;Podstawy hydrologii dynamicznej;Romuald Szymkiewicz, Dariusz Gąsiorowski;978-83-204-3695-2;Wydawnictwo WNT;2010;Nauki matematyczno-przyrodnicze;Technika;Czytaj
26669;Podstawy masażu leczniczego;Zygmunt Prochowicz;978-83-200-3992-4;Wydawnictwo Lekarskie PZWL;2003;Medycyna;Rehabilitacja;Czytaj
41526;Podstawy pedagogiki przedszkolnej z metodyką;Jolanta Karbowniczek, Małgorzata Kwaśniewska, Barbara Surma;978-83-7505-888-8;Wydawnictwo WAM;2011;Nauki społeczne;Pedagogika;Czytaj
2418;Podstawy prawa własności intelektualnej;Joanna Hetman;978-83-61154-46-4;Biblioteka Analiz;2010;Prawo;Prawo własności intelektualnej;Czytaj
65;Podstawy rachunkowości;Redakcja: Bronisław Micherda;978-83-01-15048-8;Wydawnictwo Naukowe PWN;2008;Nauki ekonomiczne;Rachunkowość i controlling;Czytaj
43653;Podstawy rehabilitacji dla studentów medycyny;Redakcja: Zdzisława Wrzosek;978-83-200-4243-6;Wydawnictwo Lekarskie PZWL;2011;Medycyna;Rehabilitacja;Czytaj
1750;Podstawy zarządzania;Magdalena Dołhasz, Janusz Fudaliński, Małgorzata Kosała, Halina Smutek;978-83-01-15808-8;Wydawnictwo Naukowe PWN;2009;Nauki ekonomiczne;Zarządzanie, organizacja, strategie;Czytaj
2315;Podstawy zarządzania organizacjami;Ricky W. Griffin;978-83-01-16471-3;Wydawnictwo Naukowe PWN;2009;Nauki ekonomiczne;Zarządzanie, organizacja, strategie;Czytaj
45207;Poduszka w różowe słonie;Joanna M. Chmielewska, Redakcja: Dorota Koman;978-83-7779-028-1;MG;2011;Literatura kobieca;-;Czytaj
11634;Poeta romantyczny i nieromantyczne czasy;German Ritz, Redakcja: Małgorzata Łukasiewicz;978-83-242-1478-5;Universitas;2011;Nauki humanistyczne;Filologia polska;Czytaj
581;Poetyka dzieła literackiego;Ryszard Handke;978-83-01-15361-8;Wydawnictwo Naukowe PWN;2008;Nauki humanistyczne;Filologia polska;Czytaj
64126;Pokój do wynajęcia;J. Mal;978-83-7859-174-0;Wydawnictwo e-bookowo;2013;Literatura kobieca;-;Czytaj
41542;Pokuta;Olle Lönnaeus;978-83-7544-467-4;Rea;2011;Literatura piękna;Kryminał, sensacja, thriller;Czytaj
558;Politologia;Andrew Heywood;978-83-01-14778-5;Wydawnictwo Naukowe PWN;2008;Nauki społeczne;Nauki polityczne;Czytaj
38187;Politologia. Polityka społeczna. Praca socjalna;Redakcja: Tadeusz Kamiński;978-83-7072-716-1;Wydawnictwo Uniwersytetu Kardynała Stefana Wyszyńskiego;2011;Nauki społeczne;Nauki polityczne;Czytaj
26647;Polityczne aspekty rozwoju społeczeństwa obywatelskiego w Polsce po 1989 roku;Joanna Dzwończyk;978-83-7252-456-0;Wydawnictwo Uniwersytetu Ekonomicznego w Krakowie;2009;Nauki społeczne;Nauki polityczne;Czytaj
38348;Polityka ekonomiczna;Redakcja: Michał Sosnowski, Jerzy Sokołowski;978-83-7695-180-5;Wydawnictwo Uniwersytetu Ekonomicznego we Wrocławiu;2011;Nauki ekonomiczne;Teoria ekonomii;Czytaj
